,time,open,high,low,close,volume
2955,2024-12-31 18:45:00+00:00,195.0,195.37,194.49,194.67,19973.461
2956,2024-12-31 19:00:00+00:00,194.67,195.17,194.25,194.97,16866.699
2957,2024-12-31 19:15:00+00:00,194.97,194.98,194.16,194.43,9969.359
2958,2024-12-31 19:30:00+00:00,194.43,194.61,193.22,193.45,24615.527
2959,2024-12-31 19:45:00+00:00,193.44,194.12,193.35,193.81,11466.429
2960,2024-12-31 20:00:00+00:00,193.81,194.69,193.77,194.2,13918.413
2961,2024-12-31 20:15:00+00:00,194.19,194.81,193.98,194.8,11617.97
2962,2024-12-31 20:30:00+00:00,194.79,194.82,194.16,194.35,22482.77
2963,2024-12-31 20:45:00+00:00,194.34,194.5,193.76,194.02,17092.075
2964,2024-12-31 21:00:00+00:00,194.02,194.37,193.12,193.32,16819.507
2965,2024-12-31 21:15:00+00:00,193.32,193.34,192.5,192.72,21203.426
2966,2024-12-31 21:30:00+00:00,192.71,193.57,192.66,193.21,31009.292
2967,2024-12-31 21:45:00+00:00,193.21,193.23,192.78,193.16,7615.112
2968,2024-12-31 22:00:00+00:00,193.15,193.15,192.12,192.64,16881.912
2969,2024-12-31 22:15:00+00:00,192.65,192.88,191.58,192.08,59329.439
2970,2024-12-31 22:30:00+00:00,192.08,192.23,191.43,192.06,16246.577
2971,2024-12-31 22:45:00+00:00,192.07,192.16,190.71,191.13,20116.854
2972,2024-12-31 23:00:00+00:00,191.14,191.2,190.15,190.98,40937.716
2973,2024-12-31 23:15:00+00:00,190.97,191.11,190.0,190.49,28504.939
2974,2024-12-31 23:30:00+00:00,190.49,190.49,189.2,189.53,35837.209
2975,2024-12-31 23:45:00+00:00,189.53,190.04,189.29,189.31,30592.866
2976,2025-01-01 00:00:00+00:00,189.31,190.52,189.08,190.51,35052.417
2977,2025-01-01 00:15:00+00:00,190.5,191.3,190.36,190.72,23577.459
2978,2025-01-01 00:30:00+00:00,190.71,191.58,190.66,191.28,20113.732
2979,2025-01-01 00:45:00+00:00,191.28,192.66,191.17,192.54,30768.756
